區域別,長照推估需求人數(A),長照給付支付服務人數(B),住宿式機構服務(含團屋)使用人數(C),失智未失能及衰弱老人服務人數(D),長照2.0服務使用人數(E=B+C+D),長照需求服務涵蓋率(F=E/A)
總計,829431,440381,94700,41485,576566,69.51%
新北市,136398,57660,15833,6145,79638,58.39%
臺北市,105473,38759,5262,5904,49925,47.33%
桃園市,66079,31986,7396,2642,42024,63.60%
臺中市,85988,52149,9578,3881,65608,76.30%
臺南市,67325,40369,10794,3874,55037,81.75%
高雄市,100332,53756,11147,4192,69095,68.87%
宜蘭縣,17027,10176,2832,989,13997,82.20%
新竹縣,16680,8062,2367,350,10779,64.62%
苗栗縣,20179,10774,1690,756,13220,65.51%
彰化縣,45596,25967,6881,3557,36405,79.84%
南投縣,19826,15993,2769,878,19640,99.06%
雲林縣,27514,16425,2944,2021,21390,77.74%
嘉義縣,21588,16121,2368,1336,19825,91.83%
屏東縣,32042,23775,4940,1332,30047,93.77%
臺東縣,8836,7123,1066,254,8443,95.55%
花蓮縣,13026,10642,1592,784,13018,99.94%
澎湖縣,3908,2432,297,144,2873,73.52%
基隆市,14035,5467,1424,875,7766,55.33%
新竹市,13211,6242,1033,811,8086,61.21%
嘉義市,9417,4996,2329,639,7964,84.57%
金門縣,4569,1471,139,98,1708,37.38%
連江縣,382,36,19,23,78,20.42%
